id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1136,2017,11,5,2017-11-05,20,15,10,8,NA,15,2,15
1137,2017,11,6,2017-11-06,15,20,10,8,NA,15,2,15
1138,2017,11,7,2017-11-07,15,20,10,8,NA,15,2,15
1139,2017,11,8,2017-11-08,15,30,10,8,NA,,2,15
1140,2017,11,9,2017-11-09,15,30,10,8,NA,15,2,15
1141,2017,11,10,2017-11-10,15,25,10,8,NA,15,2,15
1142,2017,11,11,2017-11-11,20,25,10,8,NA,15,2,15
1143,2017,11,12,2017-11-12,25,25,10,7,NA,15,2,15
1144,2017,11,13,2017-11-13,25,25,10,7,NA,15,2,15
1145,2017,11,14,2017-11-14,20,65,10,6,NA,15,2,15
1146,2017,11,15,2017-11-15,30,65,10,NA,NA,15,5,15
1147,2017,11,16,2017-11-16,30,65,10,NA,NA,15,5,15
1148,2017,11,17,2017-11-17,30,55,10,9,NA,25,5,15
1149,2017,11,18,2017-11-18,30,55,10,NA,NA,25,20,15
1150,2017,11,19,2017-11-19,30,55,10,NA,NA,25,20,15
1151,2017,11,20,2017-11-20,40,55,10,NA,NA,30,20,15
1152,2017,11,21,2017-11-21,40,60,10,NA,NA,30,20,15
1153,2017,11,22,2017-11-22,45,55,10,6,NA,30,20,15
1154,2017,11,23,2017-11-23,35,55,10,6,NA,25,20,15
1155,2017,11,24,2017-11-24,40,55,10,6,NA,25,20,15
1156,2017,11,25,2017-11-25,38,55,10,6,NA,25,20,15
1157,2017,11,26,2017-11-26,38,55,10,6,NA,25,20,15
1158,2017,11,27,2017-11-27,35,55,10,6,NA,25,20,15
1159,2017,11,28,2017-11-28,35,100,10,7,NA,,NA,NA
1160,2017,11,29,2017-11-29,NA,85,10,6,NA,,NA,NA
1161,2017,11,30,2017-11-30,NA,85,10,7,NA,,NA,NA
1162,2017,12,1,2017-12-01,NA,85,10,15,NA,,NA,NA
1163,2017,12,2,2017-12-02,NA,85,10,13,NA,,NA,NA
1164,2017,12,3,2017-12-03,NA,85,10,11,NA,,NA,NA
1165,2017,12,4,2017-12-04,NA,90,10,15,NA,,NA,NA
1166,2017,12,5,2017-12-05,NA,90,10,10,NA,,NA,NA
1167,2017,12,6,2017-12-06,NA,140,10,9,NA,,NA,NA
1168,2017,12,7,2017-12-07,NA,140,10,9,NA,,NA,NA
1169,2017,12,8,2017-12-08,NA,130,10,9,NA,,NA,NA
1170,2017,12,9,2017-12-09,NA,130,10,9,NA,,NA,NA
1171,2017,12,10,2017-12-10,NA,130,10,9,NA,,NA,NA
1172,2017,12,11,2017-12-11,NA,130,10,9,NA,,NA,NA
1173,2017,12,12,2017-12-12,NA,130,10,9,NA,,NA,NA
1174,2017,12,13,2017-12-13,NA,130,5,9,NA,,NA,NA
1175,2017,12,14,2017-12-14,NA,130,NA,9,NA,,NA,NA
1176,2017,12,15,2017-12-15,NA,130,NA,9,NA,,NA,NA
1177,2017,12,16,2017-12-16,NA,130,NA,NA,NA,,NA,NA
1178,2017,12,17,2017-12-17,NA,135,NA,NA,NA,,NA,NA
1179,2017,12,18,2017-12-18,NA,135,10,NA,NA,,NA,NA
1180,2017,12,19,2017-12-19,NA,140,10,10,NA,,NA,NA
1181,2017,12,20,2017-12-20,NA,150,10,10,NA,,NA,NA
1182,2017,12,21,2017-12-21,NA,150,5,9,NA,,NA,NA
1183,2017,12,22,2017-12-22,NA,150,5,9,NA,,NA,NA
1184,2017,12,23,2017-12-23,NA,150,5,9,NA,,NA,NA
1185,2017,12,24,2017-12-24,NA,150,5,9,NA,,NA,NA
1186,2017,12,25,2017-12-25,NA,150,5,9,NA,,NA,NA
1187,2017,12,26,2017-12-26,NA,150,5,9,NA,,NA,NA
1188,2017,12,27,2017-12-27,NA,150,NA,NA,NA,,NA,NA
1189,2017,12,28,2017-12-28,NA,150,NA,NA,NA,,NA,NA
1190,2017,12,29,2017-12-29,NA,150,NA,NA,NA,,NA,NA
1191,2017,12,30,2017-12-30,NA,150,NA,NA,NA,,NA,NA
1192,2017,12,31,2017-12-31,NA,150,NA,NA,NA,,NA,NA
1193,2018,1,1,2018-01-01,NA,150,NA,9,NA,,NA,NA
1194,2018,1,2,2018-01-02,NA,150,NA,9,NA,,NA,NA
1195,2018,1,3,2018-01-03,NA,150,NA,9,NA,,NA,NA
1196,2018,1,4,2018-01-04,NA,150,NA,9,NA,,NA,NA
1197,2018,1,5,2018-01-05,NA,150,NA,9,NA,,NA,NA
1198,2018,1,6,2018-01-06,NA,150,10,9,NA,,NA,NA
1199,2018,1,7,2018-01-07,NA,150,NA,9,NA,,NA,NA
1200,2018,1,8,2018-01-08,NA,150,NA,9,NA,65,NA,NA
1201,2018,1,9,2018-01-09,NA,150,NA,10,NA,65,NA,NA
1202,2018,1,10,2018-01-10,NA,150,NA,10,NA,65,NA,NA
1203,2018,1,11,2018-01-11,NA,150,NA,10,NA,65,NA,NA
1204,2018,1,12,2018-01-12,NA,150,NA,9,NA,65,NA,NA
1205,2018,1,13,2018-01-13,NA,150,10,9,NA,65,NA,NA
1206,2018,1,14,2018-01-14,NA,150,10,10,NA,65,NA,NA
1207,2018,1,15,2018-01-15,NA,150,5,9,NA,65,NA,NA
1208,2018,1,16,2018-01-16,NA,150,5,9,NA,60,30,68
1209,2018,1,17,2018-01-17,NA,150,5,10,NA,60,NA,NA
1210,2018,1,18,2018-01-18,NA,150,5,9,NA,60,NA,NA
1211,2018,1,19,2018-01-19,NA,150,5,9,NA,60,NA,NA
1212,2018,1,20,2018-01-20,NA,150,5,9,NA,60,NA,NA
1213,2018,1,21,2018-01-21,NA,150,5,9,NA,60,NA,NA
1214,2018,1,22,2018-01-22,NA,150,5,9,NA,60,NA,NA
1215,2018,1,23,2018-01-23,NA,150,5,9,NA,60,NA,NA
1216,2018,1,24,2018-01-24,NA,150,5,9,NA,60,NA,NA
1217,2018,1,25,2018-01-25,NA,150,5,9,NA,60,NA,NA
1218,2018,1,26,2018-01-26,NA,150,5,9,NA,60,NA,NA
1219,2018,1,27,2018-01-27,NA,150,5,8,NA,60,NA,NA
1220,2018,1,28,2018-01-28,NA,150,5,8,NA,60,NA,NA
1221,2018,1,29,2018-01-29,NA,150,5,8,NA,60,NA,NA
1222,2018,1,30,2018-01-30,NA,150,5,8,NA,60,NA,NA
1223,2018,1,31,2018-01-31,NA,150,5,8,NA,60,NA,NA
1224,2018,2,1,2018-02-01,NA,150,5,8,NA,60,NA,NA
1225,2018,2,2,2018-02-02,NA,155,5,8,NA,60,NA,NA
1226,2018,2,3,2018-02-03,NA,155,5,8,NA,60,NA,NA
1227,2018,2,4,2018-02-04,NA,160,5,9,NA,60,NA,NA
1228,2018,2,5,2018-02-05,NA,NA,NA,9,NA,60,NA,NA
1229,2018,2,6,2018-02-06,NA,NA,NA,9,NA,60,NA,NA
1230,2018,2,7,2018-02-07,NA,NA,NA,9,NA,60,NA,NA
1231,2018,2,8,2018-02-08,NA,NA,NA,9,NA,60,NA,NA
1232,2018,2,9,2018-02-09,NA,NA,NA,9,NA,60,NA,NA
1233,2018,2,10,2018-02-10,NA,NA,NA,9,NA,60,NA,NA
1234,2018,2,11,2018-02-11,NA,NA,NA,9,NA,60,NA,NA
1235,2018,2,12,2018-02-12,NA,NA,NA,9,NA,60,NA,NA
1236,2018,2,13,2018-02-13,NA,NA,NA,10,NA,60,33,70
1237,2018,2,14,2018-02-14,NA,NA,NA,10,NA,60,NA,NA
1238,2018,2,15,2018-02-15,NA,NA,NA,10,NA,60,NA,NA
1239,2018,2,16,2018-02-16,NA,NA,NA,10,NA,60,NA,NA
1239,2018,2,17,2018-02-17,NA,NA,NA,NA,NA,60,NA,NA
1240,2018,2,18,2018-02-18,NA,NA,5,NA,NA,60,NA,NA
1241,2018,2,19,2018-02-19,NA,NA,5,NA,,60,NA,NA
1242,2018,2,20,2018-02-20,NA,NA,5,NA,,60,NA,NA
