site,zone,year,tree,aspect,height,viability,gmin
T10,Tree island,2013,3,L,S,100,4.50E-07
T10,Tree island,2013,4,L,A,70,2.10E-05
T10,Tree island,2013,4,L,A,85,1.50E-05
T10,Tree island,2013,4,L,C,98,4.60E-06
T10,Tree island,2013,4,L,C,100,1.50E-05
T10,Tree island,2013,4,L,S,98,7.70E-06
T10,Tree island,2013,5,L,A,95,2.30E-05
T10,Tree island,2013,5,L,C,100,5.20E-06
T10,Tree island,2013,5,L,C,60,1.20E-05
T10,Tree island,2013,5,L,S,99,6.30E-06
T10,Tree island,2013,5,L,S,94,1.20E-05
T11,Tree island,2013,1,L,A,98,8.50E-06
T11,Tree island,2013,1,L,A,100,1.50E-05
T11,Tree island,2013,1,L,C,100,1.30E-05
T11,Tree island,2013,1,L,C,98,3.20E-05
T11,Tree island,2013,1,L,S,100,1.60E-05
T11,Tree island,2013,1,L,S,100,1.60E-05
T11,Tree island,2013,2,L,A,100,1.80E-05
T11,Tree island,2013,2,L,A,100,1.70E-05
T11,Tree island,2013,2,L,C,100,1.90E-05
T11,Tree island,2013,2,L,C,100,9.70E-06
T11,Tree island,2013,2,L,S,100,1.30E-05
T11,Tree island,2013,2,L,S,100,1.00E-05
T11,Tree island,2013,3,L,A,100,2.40E-05
T11,Tree island,2013,3,L,A,100,1.40E-05
T11,Tree island,2013,3,L,C,100,1.10E-04
T11,Tree island,2013,3,L,C,100,1.40E-05
T11,Tree island,2013,3,L,S,91,1.10E-05
T11,Tree island,2013,3,L,S,22,1.40E-05
T11,Tree island,2013,4,L,A,100,1.10E-05
T11,Tree island,2013,4,L,A,95,2.10E-05
T11,Tree island,2013,4,L,C,100,1.40E-05
T11,Tree island,2013,4,L,C,100,1.50E-05
T11,Tree island,2013,4,L,S,100,4.40E-05
T11,Tree island,2013,4,L,S,100,2.40E-05
T11,Tree island,2013,5,L,A,100,7.50E-06
T11,Tree island,2013,5,L,A,98,1.70E-05
T11,Tree island,2013,5,L,C,100,7.90E-06
T11,Tree island,2013,5,L,C,100,2.90E-05
T11,Tree island,2013,5,L,S,100,2.60E-05
T11,Tree island,2013,5,L,S,100,3.80E-06
T12,Tree island,2013,1,L,A,39,1.70E-05
T12,Tree island,2013,1,L,A,100,2.40E-05
T12,Tree island,2013,1,L,C,98,2.10E-05
T12,Tree island,2013,1,L,C,97,2.10E-05
T12,Tree island,2013,1,L,S,93,3.10E-05
T12,Tree island,2013,1,L,S,96,2.90E-05
T12,Tree island,2013,2,L,A,83,5.60E-06
T12,Tree island,2013,2,L,A,100,5.90E-06
T12,Tree island,2013,2,L,C,88,4.20E-05
T12,Tree island,2013,2,L,C,93,1.80E-05
T12,Tree island,2013,2,L,S,96,2.00E-05
T12,Tree island,2013,2,L,S,100,3.10E-05
T12,Tree island,2013,3,L,A,100,7.40E-06
T12,Tree island,2013,3,L,A,93,3.50E-05
T12,Tree island,2013,3,L,C,100,9.20E-06
