site,group,date,year,zone,sample,weight,depth,density,swe,htc
T11,2,20130215,2013,Drift,12,2250,191,330,630,0.17
T11,2,20130215,2013,Drift,32,1500,143,294,420,0.18
T11,2,20130215,2013,Drift,2,2400,195,345,672,0.18
T11,5,20130215,2013,Drift,25,2820,216,365,789,0.18
T11,3,20130215,2013,Drift,3,2900,220,369,812,0.18
T11,1,20130215,2013,Drift,6,2680,208,361,750,0.18
T11,5,20130215,2013,Drift,15,2500,198,353,700,0.19
T11,4,20130215,2013,Drift,9,2700,204,371,756,0.20
T11,2,20130215,2013,Drift,17,2300,183,352,644,0.20
T11,2,20130215,2013,Drift,7,2710,204,372,759,0.20
T11,4,20130215,2013,Drift,24,2440,190,360,683,0.20
T11,5,20130215,2013,Drift,20,2700,203,372,756,0.20
T11,3,20130215,2013,Drift,8,2900,212,383,812,0.20
T11,2,20130215,2013,Drift,22,2120,172,345,593,0.20
T11,1,20130215,2013,Drift,16,2840,208,382,795,0.21
T11,5,20130215,2013,Drift,40,3180,224,397,890,0.21
T11,2,20130215,2013,Drift,42,1450,130,312,406,0.22
T11,5,20130215,2013,Drift,35,3000,211,398,840,0.22
T11,4,20130215,2013,Drift,4,2680,195,385,750,0.22
T11,5,20130215,2013,Drift,10,2500,186,376,700,0.22
T11,4,20130215,2013,Drift,14,2830,202,392,792,0.22
T11,2,20130215,2013,Drift,37,1600,138,325,448,0.22
T11,1,20130215,2013,Drift,21,2760,198,390,773,0.23
T11,5,20130215,2013,Drift,5,2160,167,362,605,0.23
T11,1,20130215,2013,Drift,11,3710,234,444,1039,0.25
T11,5,20130215,2013,Drift,30,3160,208,425,885,0.26
T11,1,20130215,2013,Drift,1,2150,159,379,602,0.26
T11,4,20130215,2013,Drift,19,2900,190,427,812,0.28
T11,3,20130215,2013,Island,28,1380,140,276,386,0.16
T11,2,20130215,2013,Island,7,690,88,220,193,0.16
T11,2,20130215,2013,Island,37,2050,180,319,574,0.17
T11,2,20130215,2013,Island,27,2200,181,340,616,0.19
T11,2,20130215,2013,Island,17,1150,116,278,322,0.20
T11,2,20130215,2013,Island,42,1800,151,334,504,0.22
T11,1,20130215,2013,Island,41,1900,155,343,532,0.22
T11,2,20130215,2013,Island,32,2200,170,362,616,0.23
T11,3,20130215,2013,Island,38,2160,164,369,605,0.24
T11,3,20130215,2013,Island,13,1000,98,286,280,0.24
T11,2,20130215,2013,Island,22,1800,145,348,504,0.24
T11,5,20130215,2013,Island,15,1500,128,328,420,0.25
