site,year,depth,density,swe,htc
TIS,2006,122,277.65,338.74,0.19
TIS,2006,91,246.11,223.96,0.2
TIS,2006,112,274.95,307.94,0.2
TIS,2006,126,297.72,375.13,0.21
TIS,2006,107,274.71,293.94,0.21
TIS,2006,106,274.66,291.14,0.21
TIS,2006,106,277.31,293.94,0.21
TIS,2006,136,314.94,428.32,0.21
TIS,2006,114,288.54,328.94,0.21
TIS,2006,142,323.32,459.11,0.22
TIS,2006,101,273.02,275.75,0.22
TIS,2006,113,297.29,335.94,0.23
TIS,2006,166,362.58,601.88,0.23
TIS,2006,113,303.48,342.93,0.24
TIS,2006,108,298.09,321.94,0.24
TIS,2006,114,306.96,349.93,0.24
TIS,2006,138,340.8,470.31,0.25
TIS,2006,100,293.94,293.94,0.25
TIS,2006,132,349.93,461.91,0.27
TIS,2006,100,305.14,305.14,0.27
TIS,2006,134,355.16,475.91,0.28
TIS,2006,106,316.92,335.94,0.28
TIS,2006,103,312.56,321.94,0.28
TIS,2006,92,296.68,272.95,0.28
TIS,2006,104,316.29,328.94,0.28
TIS,2006,112,337.44,377.93,0.3
TIS,2006,124,355.58,440.92,0.3
TIS,2006,96,313.48,300.94,0.3
TIS,2006,82,290.19,237.95,0.3
TIS,2006,118,348.75,411.52,0.3
TIS,2006,98,319.94,313.54,0.31
TIS,2006,103,331.59,341.53,0.31
