year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RID,Ecotone,910,L,SOC,RID FT910 SOC,0.3867,0.865,123.6876131,1,NA,0.029790215,3.53494E-05
2008,RID,Ecotone,910,L,SOS,RID FT910 SOS,0.127,0.2955,132.6771654,0.958333333,NA,0.010188427,5.31391E-05
2008,RID,Ecotone,911,L,EAA,RID FT911 EAA,0.3781,0.8227,117.5879397,0.954887218,NA,0.032186971,3.92646E-05
2008,RID,Ecotone,911,L,EAC,RID FT911 EAC,0.2774,0.6516,134.8954578,1,NA,0.017561208,4.02133E-05
2008,RID,Ecotone,911,L,EAS,RID FT911 EAS,0.3518,0.7949,125.9522456,1,NA,0.028635655,4.05429E-05
2008,RID,Ecotone,911,W,NWA,RID FT911 NWA,0.1656,0.4144,150.2415459,1,NA,0.015695902,4.12401E-05
2008,RID,Ecotone,911,W,NWC,RID FT911 NWC,0.3506,0.793,126.1836851,0.985714286,NA,0.022456026,4.21388E-05
2008,RID,Ecotone,911,W,NWS,RID FT911 NWS,0.1309,0.2928,123.6822002,1,NA,0.012144586,3.28951E-05
2008,RID,Ecotone,911,L,SOA,RID FT911 SOA,0.1993,0.4307,116.1063723,1,NA,0.014894303,2.59775E-05
2008,RID,Ecotone,911,L,SOC,RID FT911 SOC,0.3435,0.7997,132.8093159,0.985294118,NA,0.019080788,4.20232E-05
2008,RID,Ecotone,911,L,SOS,RID FT911 SOS,0.2627,0.6124,133.1176247,0.961538462,NA,0.0234128,4.23891E-05
2008,RID,Ecotone,912,L,EAA,RID FT912 EAA,0.2415,0.5407,123.8923395,0.981818182,NA,0.017362405,2.93172E-05
2008,RID,Ecotone,912,L,EAC,RID FT912 EAC,0.2406,0.5327,121.4048213,0.953125,NA,0.018215673,3.64744E-05
2008,RID,Ecotone,912,L,EAS,RID FT912 EAS,0.2237,0.5133,129.459097,1,NA,0.021110916,2.75749E-05
2008,RID,Ecotone,912,W,NWA,RID FT912 NWA,0.2504,0.5714,128.1948882,1,NA,0.016936491,3.91704E-05
2008,RID,Ecotone,912,W,NWC,RID FT912 NWC,0.3469,0.7689,121.6488902,1,NA,0.02079494,4.66899E-05
2008,RID,Ecotone,912,W,NWS,RID FT912 NWS,0.1266,0.2954,133.3333333,0.973684211,NA,0.011793233,2.47005E-05
2008,RID,Ecotone,912,L,SOA,RID FT912 SOA,0.2424,0.5457,125.1237624,1,NA,0.01758372,2.92368E-05
2008,RID,Ecotone,912,L,SOC,RID FT912 SOC,0.1536,0.3508,128.3854167,1,NA,0.010530936,4.52732E-05
2008,RID,Ecotone,912,L,SOS,RID FT912 SOS,0.3586,0.708,97.43446737,0.958762887,NA,0.028076063,4.03667E-05
2008,RID,Tundra,916,L,EAA,RID T916 EAA,0.1149,0.2751,139.4255875,1,NA,0.013380351,3.16592E-05
2008,RID,Tundra,916,L,EAS,RID T916 EAS,0.1263,0.2989,136.658749,1,NA,0.019585707,1.85278E-05
2008,RID,Tundra,916,W,NWA,RID T916 NWA,0.1289,0.3103,140.7292475,0.946428571,NA,0.014227778,5.7224E-05
2008,RID,Tundra,916,W,NWS,RID T916 NWS,0.157,0.3563,126.9426752,0.625,NA,0.020068114,4.84444E-05
2008,RID,Tundra,916,L,SOA,RID T916 SOA,0.1525,0.3618,137.2459016,1,NA,0.017646433,4.15515E-05
2008,RID,Tundra,916,L,SOS,RID T916 SOS,0.0426,0.0723,69.71830986,0.947368421,NA,0.004598943,6.28229E-05
2008,RID,Tundra,917,L,EAA,RID T917 EAA,0.1272,0.274,115.408805,1,NA,0.01392949,3.92908E-05
2008,RID,Tundra,917,L,EAS,RID T917 EAS,0.0943,0.2305,144.4326617,1,NA,0.011779565,2.04614E-05
2008,RID,Tundra,917,W,NWA,RID T917 NWA,0.0817,0.1742,113.2190942,1,NA,0.008683319,3.67115E-05
2008,RID,Tundra,917,W,NWS,RID T917 NWS,0.0901,0.2083,131.1875694,0.957446809,NA,0.00940934,3.26452E-05
2008,RID,Tundra,917,L,SOA,RID T917 SOA,0.2284,0.5378,135.4640981,1,NA,0.018560593,4.98585E-05
2008,RID,Tundra,917,L,SOS,RID T917 SOS,0.1326,0.2995,125.86727,0.984615385,NA,0.012281268,3.54898E-05
2008,RID,Tundra,918,L,EAA,RID T918 EAA,0.0336,0.0748,122.6190476,1,NA,0.003626089,4.06599E-05
2008,RID,Tundra,918,L,EAS,RID T918 EAS,0.0893,0.1891,111.7581187,1,NA,0.005493003,4.12463E-05
2008,RID,Tundra,918,W,NWA,RID T918 NWA,0.1014,0.2064,103.5502959,0.97826087,NA,0.008358498,4.30456E-05
2008,RID,Tundra,918,W,NWS,RID T918 NWS,0.1041,0.2138,105.3794428,0.904761905,NA,0.010363541,7.75702E-05
