site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
sshr,2017,spruce,427,no,3,scarified,0,1,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,453,no,2,seeded,1,0,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,427,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,427,yes,3,scarified,0,1,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,454,no,4,seeded.scarified,1,1,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,428,no,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,428,no,1,control,0,0,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,455,no,3,scarified,0,1,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,428,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,428,yes,1,control,0,0,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,456,no,1,control,0,0,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,429,no,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,429,no,2,seeded,1,0,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
